STATUS | wrapper  | 2019/02/21 13:16:36 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/02/21 13:16:36 | Java Service Wrapper Community Edition 64-bit 3.5.37
STATUS | wrapper  | 2019/02/21 13:16:36 |   Copyright (C) 1999-2018 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2019/02/21 13:16:36 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2019/02/21 13:16:36 | 
WARN   | wrapper  | 2019/02/21 13:16:36 | Running in a console with QuickEdit Mode. Be careful when selecting text in the
WARN   | wrapper  | 2019/02/21 13:16:36 |   console as this may cause to block the Java Application.
WARN   | wrapper  | 2019/02/21 13:16:36 | 
STATUS | wrapper  | 2019/02/21 13:16:37 | Launching a JVM...
INFO   | wrapper  | 2019/02/21 13:16:37 | Java Command Line:
INFO   | wrapper  | 2019/02/21 13:16:37 |   Command: "C:\Program Files (x86)\Java\jre1.8.0_111\bin\java" -Djava.library.path="../lib" -classpath "../lib/wrapper.jar;../lib/classes" -Dwrapper.key="uzADcCvAcx604B4S" -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=3324 -Dwrapper.version="3.5.37" -Dwrapper.native_library="wrapper" -Dwrapper.arch="x86" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=1 org.tanukisoftware.wrapper.WrapperSimpleApp orko-app server example-config.yml
INFO   | jvm 1    | 2019/02/21 13:16:37 | WrapperManager: Initializing...
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager: 
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager: ERROR - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager:         The file is located on the path at the following location but
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager:         could not be loaded:
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager:           c:\code\orko\install home\bin\..\lib\wrapper.dll
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager:         Please verify that the file is both readable and executable by the
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager:         current user and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager:         One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager:         of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager:         This is a 32-bit JVM.
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager:         Reported cause:
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager:           C:\code\orko\install home\lib\wrapper.dll: Can't load AMD 64-bit .dll on a IA 32-bit platform
INFO   | jvm 1    | 2019/02/21 13:16:42 | WrapperManager: 
ERROR  | wrapper  | 2019/02/21 13:17:03 | Shutdown failed: Timed out waiting for the JVM to terminate.
ERROR  | wrapper  | 2019/02/21 13:17:03 | JVM did not exit on request, termination requested.
STATUS | wrapper  | 2019/02/21 13:17:03 | JVM exited after being requested to terminate.
STATUS | wrapper  | 2019/02/21 13:17:04 | <-- Wrapper Stopped
STATUS | wrapper  | 2019/02/21 13:17:32 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/02/21 13:17:32 | Java Service Wrapper Community Edition 64-bit 3.5.37
STATUS | wrapper  | 2019/02/21 13:17:32 |   Copyright (C) 1999-2018 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2019/02/21 13:17:32 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2019/02/21 13:17:32 | 
WARN   | wrapper  | 2019/02/21 13:17:32 | Running in a console with QuickEdit Mode. Be careful when selecting text in the
WARN   | wrapper  | 2019/02/21 13:17:32 |   console as this may cause to block the Java Application.
WARN   | wrapper  | 2019/02/21 13:17:32 | 
STATUS | wrapper  | 2019/02/21 13:17:33 | Launching a JVM...
INFO   | wrapper  | 2019/02/21 13:17:33 | Java Command Line:
INFO   | wrapper  | 2019/02/21 13:17:33 |   Command: "C:\Program Files (x86)\Java\jre1.8.0_111\bin\java" -Djava.library.path="../lib" -classpath "../lib/wrapper.jar;../lib/classes" -Dwrapper.key="ufEu8rWvXQR5BnG1" -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=8224 -Dwrapper.version="3.5.37" -Dwrapper.native_library="wrapper" -Dwrapper.arch="x86" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=1 org.tanukisoftware.wrapper.WrapperSimpleApp orko-app server example-config.yml
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager: Initializing...
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager: 
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager: ERROR - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager:         The file is located on the path at the following location but
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager:         could not be loaded:
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager:           c:\code\orko\install home\bin\..\lib\wrapper.dll
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager:         Please verify that the file is both readable and executable by the
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager:         current user and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager:         One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager:         of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager:         This is a 32-bit JVM.
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager:         Reported cause:
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager:           C:\code\orko\install home\lib\wrapper.dll: Can't load AMD 64-bit .dll on a IA 32-bit platform
INFO   | jvm 1    | 2019/02/21 13:17:33 | WrapperManager: 
ERROR  | wrapper  | 2019/02/21 13:17:54 | Shutdown failed: Timed out waiting for the JVM to terminate.
ERROR  | wrapper  | 2019/02/21 13:17:54 | JVM did not exit on request, termination requested.
STATUS | wrapper  | 2019/02/21 13:17:54 | JVM exited after being requested to terminate.
STATUS | wrapper  | 2019/02/21 13:17:54 | <-- Wrapper Stopped
STATUS | wrapper  | 2019/02/21 13:24:48 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/02/21 13:24:48 | Java Service Wrapper Community Edition 64-bit 3.5.37
